Time,pH,Nitrogen,Phosphorous,Potassium,Dust,Moisture,,
08-03-2026 14:10,6.5,96,64,53,290,22.1,,
08-03-2026 14:11,6.6,94,63,54,275,24.8,,
08-03-2026 14:12,6.4,98,65,52,310,18.5,,D
08-03-2026 14:13,6.7,95,66,55,260,26.3,,
08-03-2026 14:14,6.8,97,62,51,245,29.2,,
08-03-2026 14:15,6.3,93,64,53,330,15.6,,
08-03-2026 14:16,6.6,100,67,54,300,20.4,,
08-03-2026 14:17,6.7,99,65,56,285,23.7,,
08-03-2026 14:18,6.5,96,63,52,270,25.5,,
08-03-2026 14:19,6.4,94,64,53,320,17.8,,
08-03-2026 14:20,6.8,101,66,55,240,30.6,,
08-03-2026 14:21,6.6,98,65,54,255,27.4,,
08-03-2026 14:22,6.5,95,63,52,310,19.2,,
08-03-2026 14:23,6.7,97,64,53,295,22.6,,
08-03-2026 14:24,6.4,93,62,51,340,14.8,,
08-03-2026 14:25,6.6,99,67,55,280,24.1,,
08-03-2026 14:26,6.8,102,66,56,260,28.7,,
08-03-2026 14:27,6.5,96,65,54,300,21.5,,
08-03-2026 14:28,6.3,94,63,52,330,16.9,,
08-03-2026 14:29,6.7,98,64,53,275,25.3,,
08-03-2026 14:30,6.6,97,66,55,250,29.8,,
08-03-2026 14:31,6.5,95,64,54,305,20.7,,
08-03-2026 14:32,6.4,92,62,51,345,13.9,,
08-03-2026 14:33,6.8,100,67,56,265,27.2,,
08-03-2026 14:34,6.7,99,65,54,285,23.9,,
08-03-2026 14:35,6.6,97,63,52,295,22,,
08-03-2026 14:36,6.4,94,64,53,320,18.4,,
08-03-2026 14:37,6.5,96,66,55,275,24.7,,
08-03-2026 14:38,6.7,101,67,56,260,28.5,,
08-03-2026 14:39,6.6,98,65,54,300,21.8,,
08-03-2026 14:40,6.3,93,62,51,335,15.1,,
